page,type,url,normalized,reason
blog-kapitalnyi-remont-pressa.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-kapitalnyi-remont-pressa.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-kapitalnyi-remont-pressa.html,a,#,,Anchor # not found in page
blog-kapitalnyi-remont-pressa.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-kapitalnyi-remont-pressa.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-kapitalnyi-remont-pressa.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-kapitalnyi-remont-pressa.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-kapitalnyi-remont-pressa.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-kapitalnyi-remont-pressa.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-obsluzhivanie-listogibov.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-obsluzhivanie-listogibov.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-obsluzhivanie-listogibov.html,a,#,,Anchor # not found in page
blog-obsluzhivanie-listogibov.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-obsluzhivanie-listogibov.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-obsluzhivanie-listogibov.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-obsluzhivanie-listogibov.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-obsluzhivanie-listogibov.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-obsluzhivanie-listogibov.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-cpu-stoiki.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-cpu-stoiki.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-cpu-stoiki.html,a,#,,Anchor # not found in page
blog-remont-cpu-stoiki.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-cpu-stoiki.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-cpu-stoiki.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-cpu-stoiki.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-cpu-stoiki.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-cpu-stoiki.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-gilotin.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-gilotin.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-gilotin.html,a,#,,Anchor # not found in page
blog-remont-gilotin.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-gilotin.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-gilotin.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-gilotin.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-gilotin.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-gilotin.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-lentochnyh-pil.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-lentochnyh-pil.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-lentochnyh-pil.html,a,#,,Anchor # not found in page
blog-remont-lentochnyh-pil.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-lentochnyh-pil.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-lentochnyh-pil.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-lentochnyh-pil.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-lentochnyh-pil.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-lentochnyh-pil.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-listogiba.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-listogiba.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-listogiba.html,a,#,,Anchor # not found in page
blog-remont-listogiba.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-listogiba.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-listogiba.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-listogiba.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-listogiba.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-listogiba.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-listogibov-chpu.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-listogibov-chpu.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-listogibov-chpu.html,a,#,,Anchor # not found in page
blog-remont-listogibov-chpu.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-listogibov-chpu.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-listogibov-chpu.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-listogibov-chpu.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-listogibov-chpu.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-listogibov-chpu.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-profilgebiv.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-profilgebiv.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-profilgebiv.html,a,#,,Anchor # not found in page
blog-remont-profilgebiv.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-profilgebiv.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-profilgebiv.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-profilgebiv.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-profilgebiv.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-profilgebiv.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-trubogibov.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-trubogibov.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-trubogibov.html,a,#,,Anchor # not found in page
blog-remont-trubogibov.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-trubogibov.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-trubogibov.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-trubogibov.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-trubogibov.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-trubogibov.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-valtsev.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-remont-valtsev.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-remont-valtsev.html,a,#,,Anchor # not found in page
blog-remont-valtsev.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-valtsev.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-valtsev.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-remont-valtsev.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-remont-valtsev.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
blog-remont-valtsev.html,a,index.html#contacts,index.html#contacts,File not found: C:\Projects\24stanki\index.html#contacts
blog-zapchasti-listogibov.html,img,https://mc.yandex.ru/watch/104014471,https://mc.yandex.ru/watch/104014471,"('Connection aborted.', ConnectionAbortedError(10053, 'Программа на вашем хост-компьютере разорвала установленное подключение', None, 10053, None))"
blog-zapchasti-listogibov.html,link,favicon.ico?v=2,favicon.ico?v=2,File not found: C:\Projects\24stanki\favicon.ico?v=2
blog-zapchasti-listogibov.html,a,#,,Anchor # not found in page
blog-zapchasti-listogibov.html,a,index.html#portfolio,index.html#portfolio,File not found: C:\Projects\24stanki\index.html#portfolio
blog-zapchasti-listogibov.html,a,index.html#reviews,index.html#reviews,File not found: C:\Projects\24stanki\index.html#reviews
